,$\alpha{-}cells$,$\beta{-}cells$,$\delta{-}cells$,Acinar cells,Ductal cells,PP cells,Stellate cells
CPI-SS0C4D54E39$\delta{-}cells$,0,0,0,0,1,0,1
CPI-SS033E6DE7E$\delta{-}cells$,0,0,0,0,1,0,1
CPI-CS02AEFFE28$\delta{-}cells$,0,0,0,0,1,0,0
CPI-CS076E1A639$\delta{-}cells$,0,0,0,0,1,0,0
CPI-CS0C091F24B$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS090FFEDFE$\delta{-}cells$,0,0,0,0,1,1,1
CPI-SS0DA033F03$\delta{-}cells$,0,0,0,0,1,0,0
CPI-CS0484364A2$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS03DF8BD36$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS01319F57A$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS0D35E69F6$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS05EAF93CC$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS0DF85303A$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS0F6CFB979$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS08109C435$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS0EF793D6A$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS08A853007$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS0921BB754$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS0C0D60519$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS0247DA882$\delta{-}cells$,0,0,0,0,1,1,1
CPI-CS058910188$\delta{-}cells$,0,0,0,0,1,0,1
CPI-CS028ACED72$\delta{-}cells$,0,0,0,0,1,0,1
CPI-CS08A043594$\delta{-}cells$,0,0,0,0,1,0,1
CPI-SS01ECFDA18Acinar cells,0,0,0,0,1,0,0
CPI-SS0907A7598Acinar cells,0,0,0,0,1,0,0
CPI-SS0DE0A486FAcinar cells,0,0,0,0,1,0,1
CPI-CS0860DA460Acinar cells,0,0,0,0,1,1,0
CPI-CS017A50010Acinar cells,0,0,0,0,1,1,0
CPI-SS0649EA05FAcinar cells,0,0,0,0,1,0,0
CPI-SS0C4D54E39Acinar cells,0,0,0,0,1,0,1
CPI-SS033E6DE7EAcinar cells,0,0,0,0,1,0,1
CPI-SS08083B141Acinar cells,0,0,0,0,1,0,1
CPI-CS02AEFFE28Acinar cells,0,0,0,0,1,1,0
CPI-CS076E1A639Acinar cells,0,0,0,0,1,1,0
CPI-CS0C091F24BAcinar cells,0,0,0,0,1,1,1
CPI-CS090FFEDFEAcinar cells,0,0,0,0,1,1,1
CPI-CS0288D901DAcinar cells,0,0,0,0,1,1,0
CPI-CS0484364A2Acinar cells,0,0,0,0,1,1,1
CPI-CS0C99F8D96Acinar cells,0,0,0,0,1,1,0
CPI-CS03DF8BD36Acinar cells,0,0,0,0,1,1,1
CPI-CS01319F57AAcinar cells,0,0,0,0,1,1,1
CPI-CS0D35E69F6Acinar cells,0,0,0,0,1,1,1
CPI-CS05EAF93CCAcinar cells,0,0,0,0,1,1,1
CPI-CS0924060DBAcinar cells,0,0,0,0,1,0,1
CPI-CS0DF85303AAcinar cells,0,0,0,0,1,1,1
CPI-CS0F6CFB979Acinar cells,0,0,0,0,1,1,1
CPI-CS08109C435Acinar cells,0,0,0,0,1,1,1
CPI-CS0EF793D6AAcinar cells,0,0,0,0,1,1,1
CPI-CS08A853007Acinar cells,0,0,0,0,1,1,1
CPI-CS0921BB754Acinar cells,0,0,0,0,1,1,1
CPI-CS0C0D60519Acinar cells,0,0,0,0,1,1,1
CPI-CS0247DA882Acinar cells,0,0,0,0,1,1,1
CPI-SS070C51D94Acinar cells,0,0,0,0,1,0,1
CPI-CS05426BFFAAcinar cells,0,0,0,0,1,1,1
CPI-SS01ECFDA18Ductal cells,0,0,0,0,1,0,0
CPI-SS07A9A501CDuctal cells,0,0,0,0,1,0,0
CPI-SS0907A7598Ductal cells,0,0,0,0,1,0,0
CPI-SS0DE0A486FDuctal cells,0,0,0,0,1,0,1
CPI-CS0860DA460Ductal cells,0,0,0,0,1,1,0
CPI-CS017A50010Ductal cells,0,0,0,0,1,1,0
CPI-SS033E6DE7EDuctal cells,0,0,0,0,1,0,1
CPI-CS02AEFFE28Ductal cells,0,0,0,0,1,0,0
CPI-CS076E1A639Ductal cells,0,0,0,0,1,0,0
CPI-CS0C091F24BDuctal cells,0,0,0,0,1,1,1
CPI-CS090FFEDFEDuctal cells,0,0,0,0,1,1,1
CPI-SS0DA033F03Ductal cells,0,0,0,0,1,0,0
CPI-CS0288D901DDuctal cells,0,0,0,0,1,1,0
CPI-CS0484364A2Ductal cells,0,0,0,0,1,1,1
CPI-CS0C99F8D96Ductal cells,0,0,0,0,1,1,0
CPI-CS03DF8BD36Ductal cells,0,0,0,0,1,1,1
CPI-CS01319F57ADuctal cells,0,0,0,0,1,1,1
CPI-CS0D35E69F6Ductal cells,0,0,0,0,1,1,1
CPI-CS05EAF93CCDuctal cells,0,0,0,0,1,1,1
CPI-CS0DF85303ADuctal cells,0,0,0,0,1,1,1
CPI-CS0F6CFB979Ductal cells,0,0,0,0,1,1,1
CPI-CS08109C435Ductal cells,0,0,0,0,1,1,1
CPI-CS0EF793D6ADuctal cells,0,0,0,0,1,1,1
CPI-CS08A853007Ductal cells,0,0,0,0,1,1,1
CPI-CS0921BB754Ductal cells,0,0,0,0,1,1,1
CPI-CS0C0D60519Ductal cells,0,0,0,0,1,1,1
CPI-CS0247DA882Ductal cells,0,0,0,0,1,1,1
CPI-CS04DD927C9PP cells,0,0,0,0,1,0,0
CPI-CS0B79F5D68PP cells,0,0,0,0,1,0,0
CPI-SS0898D7F7FPP cells,0,0,0,0,1,0,0
CPI-SS0DE0A486FPP cells,0,0,0,0,1,0,1
CPI-SS08083B141PP cells,0,0,0,0,1,0,1
CPI-CS0C091F24BPP cells,0,0,0,0,1,1,1
CPI-CS090FFEDFEPP cells,0,0,0,0,1,1,1
CPI-CS0484364A2PP cells,0,0,0,0,1,1,1
CPI-CS03DF8BD36PP cells,0,0,0,0,1,1,1
CPI-CS01319F57APP cells,0,0,0,0,1,1,1
CPI-CS0D35E69F6PP cells,0,0,0,0,1,1,1
CPI-CS05EAF93CCPP cells,0,0,0,0,1,1,1
CPI-CS0F6CFB979PP cells,0,0,0,0,1,1,1
CPI-CS0EF793D6APP cells,0,0,0,0,1,1,1
CPI-CS0921BB754PP cells,0,0,0,0,1,1,1
CPI-CS0C0D60519PP cells,0,0,0,0,1,1,1
CPI-CS0247DA882PP cells,0,0,0,0,1,1,1
CPI-CS058910188PP cells,0,0,0,0,1,0,1
CPI-CS028ACED72PP cells,0,0,0,0,1,0,1
CPI-CS08A043594PP cells,0,0,0,0,1,0,1
CPI-SS07A9A501CStellate cells,0,0,0,0,1,0,0
CPI-SS0898D7F7FStellate cells,0,0,0,0,1,0,0
CPI-SS0907A7598Stellate cells,0,0,0,0,1,0,0
CPI-SS0DE0A486FStellate cells,0,0,0,0,1,0,1
CPI-SS033E6DE7EStellate cells,0,0,0,0,1,0,1
CPI-CS0C091F24BStellate cells,0,0,0,0,1,1,1
CPI-CS090FFEDFEStellate cells,0,0,0,0,1,1,1
CPI-CS02C93975CStellate cells,0,0,0,0,1,0,1
CPI-CS01A4D7E2FStellate cells,0,0,0,0,1,0,1
CPI-CS0BEC40E19Stellate cells,0,0,0,0,1,0,1
CPI-SS098425155$\alpha{-}cells$,0,0,0,0,0,1,0
CPI-CS0AA769F5B$\alpha{-}cells$,0,0,0,0,0,1,0
CPI-SS05FEE05CB$\alpha{-}cells$,0,0,0,0,0,1,1
CPI-SS00D153A8A$\alpha{-}cells$,0,0,0,0,0,1,1
CPI-SS055E061C9$\alpha{-}cells$,0,0,0,0,0,1,0
CPI-SS098425155$\beta{-}cells$,0,0,0,0,0,1,0
CPI-SS0BF490275$\beta{-}cells$,0,0,0,0,0,1,0
CPI-SS05FEE05CB$\beta{-}cells$,0,0,0,0,0,1,1
CPI-CS0E4E75E3B$\beta{-}cells$,0,0,0,0,0,1,1
CPI-CS075442484$\beta{-}cells$,0,0,0,0,0,1,1
CPI-SS098425155$\delta{-}cells$,0,0,0,0,0,1,0
CPI-CS0DDFD82E7$\delta{-}cells$,0,0,0,0,0,1,0
CPI-CS0E4E75E3B$\delta{-}cells$,0,0,0,0,0,1,1
CPI-CS075442484$\delta{-}cells$,0,0,0,0,0,1,1
CPI-CS0AA769F5BAcinar cells,0,0,0,0,0,1,0
CPI-SS038E93B77Acinar cells,0,0,0,0,0,1,0
CPI-SS0BF490275Ductal cells,0,0,0,0,0,1,0
CPI-CS0AA769F5BDuctal cells,0,0,0,0,0,1,0
CPI-SS05FEE05CBDuctal cells,0,0,0,0,0,1,1
CPI-SS0C5E9FBFBDuctal cells,0,0,0,0,0,1,0
CPI-SS098425155PP cells,0,0,0,0,0,1,0
CPI-CS0AA769F5BPP cells,0,0,0,0,0,1,0
CPI-SS055E061C9PP cells,0,0,0,0,0,1,0
CPI-SS0EDAE16B6PP cells,0,0,0,0,0,1,0
CPI-CS0E4E75E3BPP cells,0,0,0,0,0,1,1
CPI-CS075442484PP cells,0,0,0,0,0,1,1
CPI-SS0BF490275Stellate cells,0,0,0,0,0,1,0
CPI-SS038E93B77Stellate cells,0,0,0,0,0,1,0
CPI-SS09A3A441FStellate cells,0,0,0,0,0,1,0
CPI-CS067298D94$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0E00478B4$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS077F1340A$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0947A8549$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0241A1F57$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS03CC15FF3$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-CS0AB19226A$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0241A1F57$\beta{-}cells$,0,0,0,0,0,0,1
CPI-SS00D153A8A$\beta{-}cells$,0,0,0,0,0,0,1
CPI-SS0273C9AED$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS0924060DB$\beta{-}cells$,0,0,0,0,0,0,1
CPI-SS03CC15FF3$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS091BF99D0$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS0AB9C7139$\beta{-}cells$,0,0,0,0,0,0,1
CPI-CS067298D94$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS0E00478B4$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS077F1340A$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS0947A8549$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS05FEE05CB$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS0273C9AED$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS0924060DB$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS03CC15FF3$\delta{-}cells$,0,0,0,0,0,0,1
CPI-CS091BF99D0$\delta{-}cells$,0,0,0,0,0,0,1
CPI-SS0D954EA1CAcinar cells,0,0,0,0,0,0,1
CPI-CS067298D94Acinar cells,0,0,0,0,0,0,1
CPI-SS0E00478B4Acinar cells,0,0,0,0,0,0,1
CPI-CS077F1340AAcinar cells,0,0,0,0,0,0,1
CPI-SS0947A8549Acinar cells,0,0,0,0,0,0,1
CPI-SS05FEE05CBAcinar cells,0,0,0,0,0,0,1
CPI-SS042EB8C7AAcinar cells,0,0,0,0,0,0,1
CPI-SS0273C9AEDAcinar cells,0,0,0,0,0,0,1
CPI-CS02C93975CAcinar cells,0,0,0,0,0,0,1
CPI-CS01A4D7E2FAcinar cells,0,0,0,0,0,0,1
CPI-CS0BEC40E19Acinar cells,0,0,0,0,0,0,1
CPI-CS0AB19226AAcinar cells,0,0,0,0,0,0,1
CPI-SS0D954EA1CDuctal cells,0,0,0,0,0,0,1
CPI-CS067298D94Ductal cells,0,0,0,0,0,0,1
CPI-SS0E00478B4Ductal cells,0,0,0,0,0,0,1
CPI-CS077F1340ADuctal cells,0,0,0,0,0,0,1
CPI-SS0947A8549Ductal cells,0,0,0,0,0,0,1
CPI-SS042EB8C7ADuctal cells,0,0,0,0,0,0,1
CPI-SS0273C9AEDDuctal cells,0,0,0,0,0,0,1
CPI-CS02C93975CDuctal cells,0,0,0,0,0,0,1
CPI-CS01A4D7E2FDuctal cells,0,0,0,0,0,0,1
CPI-CS0BEC40E19Ductal cells,0,0,0,0,0,0,1
CPI-SS0D954EA1CPP cells,0,0,0,0,0,0,1
CPI-CS067298D94PP cells,0,0,0,0,0,0,1
CPI-SS0E00478B4PP cells,0,0,0,0,0,0,1
CPI-SS0241A1F57PP cells,0,0,0,0,0,0,1
CPI-SS042EB8C7APP cells,0,0,0,0,0,0,1
CPI-CS0AB19226APP cells,0,0,0,0,0,0,1
CPI-SS0D954EA1CStellate cells,0,0,0,0,0,0,1
CPI-CS067298D94Stellate cells,0,0,0,0,0,0,1
CPI-SS0E00478B4Stellate cells,0,0,0,0,0,0,1
CPI-CS077F1340AStellate cells,0,0,0,0,0,0,1
CPI-SS0947A8549Stellate cells,0,0,0,0,0,0,1
CPI-CS0E1BF543EStellate cells,0,0,0,0,0,0,1
CPI-CS0EC80CA59Stellate cells,0,0,0,0,0,0,1
CPI-CS046BCFC6FStellate cells,0,0,0,0,0,0,1
CPI-CS047EE9E03Stellate cells,0,0,0,0,0,0,1
CPI-SS006FB5198$\alpha{-}cells$,1,0,0,0,1,0,1
CPI-SS01560CA22$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SS0FAE7ABEF$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS056993231$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SS01A29DD97$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS06006F870$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS00D3CD86E$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS065F7DA2A$\alpha{-}cells$,1,0,0,0,0,0,1
CPI-SS07CCAD9BF$\alpha{-}cells$,1,1,1,0,1,1,0
CPI-SS0CDAC688B$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS09A3FA737$\alpha{-}cells$,1,0,0,0,0,0,1
CPI-SS00BD8FF72$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SS0D00AAD2F$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SC017215F7F$\alpha{-}cells$,1,1,0,0,1,1,0
CPI-SS055B305F1$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS032AD1183$\alpha{-}cells$,1,1,0,0,0,0,1
CPI-SS01963C4CA$\alpha{-}cells$,1,0,0,0,0,0,1
CPI-SS073F3FAD5$\alpha{-}cells$,1,1,0,0,0,0,0
CPI-SS0EBFE1854$\alpha{-}cells$,1,0,0,0,0,0,1
CPI-SS0467AFD8A$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-SS01469637C$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SS09CA492BA$\alpha{-}cells$,1,0,0,0,0,0,1
CPI-SS0AC594A8E$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS0CC5DCE80$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SS053613259$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS058E608D0$\alpha{-}cells$,1,0,1,0,0,0,0
CPI-SS0A9F17199$\alpha{-}cells$,1,0,0,1,1,0,1
CPI-SS01F67987A$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-SS03189F5F6$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-SS0F2C6A4D4$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-SS066347638$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS0D4CA5D92$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS0A2949959$\alpha{-}cells$,1,1,1,0,0,1,0
CPI-SS0D782F60B$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0DEDA3567$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS03EF699C7$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0C4FA643F$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS03EACE0E0$\alpha{-}cells$,1,0,0,1,1,0,1
CPI-SS006C6537E$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS04F3A1E5C$\alpha{-}cells$,1,1,1,0,1,1,0
CPI-SS0F3A089DE$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0D95D41D6$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS0735F5C3A$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS034B442CE$\alpha{-}cells$,1,0,1,0,0,1,0
CPI-SS008FB916C$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS0BCCDFA7A$\alpha{-}cells$,1,0,1,1,0,1,1
CPI-SS012AFC842$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS002673EFE$\alpha{-}cells$,1,0,1,1,0,1,0
CPI-SS033180726$\alpha{-}cells$,1,1,1,1,0,1,1
CPI-SS0E41702C1$\alpha{-}cells$,0,1,0,0,0,0,0
CPI-SS0331C5A49$\alpha{-}cells$,0,1,0,0,1,0,1
CPI-SS0C56C483F$\alpha{-}cells$,0,1,0,0,0,0,1
CPI-SS0D46E2B45$\alpha{-}cells$,0,1,1,0,0,0,0
CPI-SS085EE60B1$\alpha{-}cells$,0,1,1,0,0,0,0
CPI-SS0FF49C823$\alpha{-}cells$,0,1,1,0,1,0,0
CPI-SS0CBC7840D$\alpha{-}cells$,0,1,1,0,0,0,0
CPI-SS0CB4F2FE4$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-SS0178F5C45$\alpha{-}cells$,0,1,1,0,0,0,0
CPI-SS02ACCF1F7$\alpha{-}cells$,0,1,0,0,0,1,1
CPI-SS079DDF890$\alpha{-}cells$,0,1,1,0,0,0,0
CPI-SS06AA638A8$\alpha{-}cells$,0,1,1,0,1,1,0
CPI-SS083CBFACD$\alpha{-}cells$,0,1,1,0,0,1,0
CPI-SS0C28FEC7D$\alpha{-}cells$,0,1,0,0,0,1,1
CPI-SS019C98396$\alpha{-}cells$,0,1,0,0,0,1,1
CPI-SS0FBC9234C$\alpha{-}cells$,0,1,0,0,0,1,1
CPI-SS0230EE330$\alpha{-}cells$,0,1,1,0,1,1,1
CPI-SS00797FD15$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-SS00581282E$\alpha{-}cells$,0,1,1,1,1,0,1
CPI-SC001669E22$\alpha{-}cells$,0,1,1,1,1,0,1
CPI-SC0FDB4B6D9$\alpha{-}cells$,0,1,1,0,1,1,1
CPI-SS0057AB387$\alpha{-}cells$,0,1,1,1,1,0,0
CPI-SS08C78576B$\alpha{-}cells$,0,1,1,1,1,1,0
CPI-SS0CB863B46$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-SS0472C478C$\alpha{-}cells$,0,1,1,1,1,1,1
CPI-SS0B81F1BF5$\alpha{-}cells$,0,1,1,0,0,1,1
CPI-SS08B85996F$\alpha{-}cells$,0,0,1,0,0,0,1
CPI-SS05996C8FD$\alpha{-}cells$,0,0,1,0,0,1,0
CPI-SS0E063192D$\alpha{-}cells$,0,0,1,0,1,0,0
CPI-SS0EDD4928A$\alpha{-}cells$,0,0,1,0,0,0,1
CPI-SS0FC42EC80$\alpha{-}cells$,0,0,1,0,1,0,0
CPI-SS0D5E30C6C$\alpha{-}cells$,0,0,1,0,1,0,0
CPI-SS0F0D7F25C$\alpha{-}cells$,0,0,1,0,1,0,0
CPI-SS0FEEB187C$\alpha{-}cells$,0,0,1,0,0,0,1
CPI-SS0E7CBFD03$\alpha{-}cells$,0,0,1,0,0,1,1
CPI-SS0E32BEF02$\alpha{-}cells$,0,0,1,1,1,1,0
CPI-SS0D9EFC4F7$\alpha{-}cells$,0,0,1,1,1,1,1
CPI-SS012B216F6$\alpha{-}cells$,0,0,1,0,0,0,0
CPI-SS0E7D5974D$\alpha{-}cells$,0,0,1,0,0,0,1
CPI-SS08C995EB4$\alpha{-}cells$,0,0,0,1,0,0,0
CPI-SS01C2BA5C8$\alpha{-}cells$,0,0,0,1,0,0,0
CPI-SS095E52E66$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS0CA020C34$\alpha{-}cells$,0,0,0,1,1,1,1
CPI-SS0BC9F7E9E$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS0D636A374$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS0938C6980$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS046F6F0C1$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS00E68BB92$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS076D8A297$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS0A5DF05C0$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS0E134097C$\alpha{-}cells$,0,0,0,1,1,0,0
CPI-SS059EEFDC6$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS0B2D5BA95$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS03FA58286$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS004C23DCE$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS060B82BBC$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS02EF3E1BA$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS0E7523314$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS03722104E$\alpha{-}cells$,0,0,0,1,1,1,1
CPI-SS04B4619D0$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS0E5593D5C$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SS0F9B3B259$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SC0077CEB82$\alpha{-}cells$,0,0,0,1,1,1,1
CPI-SC0D5CFA431$\alpha{-}cells$,0,0,0,1,1,1,1
CPI-SS03DA2A820$\alpha{-}cells$,0,0,0,1,1,1,1
CPI-SS0859C173B$\alpha{-}cells$,0,0,0,1,1,1,1
CPI-SS0F8EFEECF$\alpha{-}cells$,0,0,0,1,1,1,1
CPI-SC032246C72$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SC0984894BC$\alpha{-}cells$,0,0,0,1,1,1,1
CPI-SC03DD946B2$\alpha{-}cells$,0,0,0,1,1,0,1
CPI-SC098C06330$\alpha{-}cells$,0,0,0,1,1,1,1
CPI-SS0AECC113F$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS0E1A8414D$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-SS0330D939A$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS0F6A7A4DF$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS02FEAF02E$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS02371A6D6$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS0E928B8C8$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS04640F9C3$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS075D9B9AD$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-SS0098B5107$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS09CCC0451$\alpha{-}cells$,0,0,0,0,1,1,0
CPI-SS0B99F22A2$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-SS05A94DE17$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS0A83A7E30$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-SS0DC2A6D35$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-SS08B7D54A3$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-SS073811AB3$\alpha{-}cells$,0,0,0,0,1,0,0
CPI-SS048A2311A$\alpha{-}cells$,0,0,0,0,1,1,1
CPI-SS02A0FF87F$\alpha{-}cells$,0,0,0,0,1,0,1
CPI-SS0C7833961$\alpha{-}cells$,0,0,0,0,0,1,0
CPI-SS0762B455F$\alpha{-}cells$,0,0,0,0,0,1,0
CPI-SS0C6448B94$\alpha{-}cells$,0,0,0,0,0,1,0
CPI-SS02928C71A$\alpha{-}cells$,0,0,0,0,0,1,1
CPI-SS05A26A1DE$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0EBA5A4D8$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS007AA9FDE$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0C03F7CDC$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0B9B3870A$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0BAB460FF$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0837E9F59$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0B70EB09E$\alpha{-}cells$,0,0,0,0,0,0,1
CPI-SS0579FA162$\beta{-}cells$,1,1,0,1,0,0,0
CPI-SS0FAE7ABEF$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS0D37C7C70$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS0FC2B68F1$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS06908C6CC$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0D377BBBF$\beta{-}cells$,1,0,0,0,1,0,1
CPI-SS05E4B1EBC$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0C1BD22BC$\beta{-}cells$,1,0,0,1,0,0,0
CPI-SS0CDAC688B$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS0C03F7CDC$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS0D00AAD2F$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS0B9B3870A$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS02371A6D6$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0FC01B947$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS032AD1183$\beta{-}cells$,1,1,0,0,0,0,1
CPI-SS0A3569604$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS042A6F835$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS01963C4CA$\beta{-}cells$,1,1,0,0,0,0,1
CPI-SS0467AFD8A$\beta{-}cells$,1,0,0,0,0,1,1
CPI-SS0098B5107$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS09CCC0451$\beta{-}cells$,1,1,0,0,1,1,0
CPI-SS0AC594A8E$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS053613259$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS058E608D0$\beta{-}cells$,1,0,1,0,0,0,0
CPI-SS01F67987A$\beta{-}cells$,1,0,0,0,0,1,1
CPI-SS03189F5F6$\beta{-}cells$,1,0,0,0,0,1,1
CPI-SS0F2C6A4D4$\beta{-}cells$,1,0,0,0,0,1,1
CPI-SS066347638$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS0D4CA5D92$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS0D782F60B$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0D95D41D6$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS02AB0C3E0$\beta{-}cells$,1,0,1,1,1,1,1
CPI-SS034B442CE$\beta{-}cells$,1,0,1,0,0,1,0
CPI-SS008FB916C$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS02A0FF87F$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0E41702C1$\beta{-}cells$,0,1,0,0,0,0,0
CPI-SS0331C5A49$\beta{-}cells$,0,1,0,0,0,0,1
