,$\alpha{-}cells$,$\beta{-}cells$,$\delta{-}cells$,Acinar cells,Ductal cells,PP cells,Stellate cells
CPI-SS082AD7B6APP cells,0,0,0,1,0,0,1
CPI-CS07B61574BPP cells,0,0,0,1,1,0,1
CPI-SS02B567BC7PP cells,0,0,0,0,1,0,1
CPI-CS0BCDC40FCPP cells,0,0,0,0,1,0,1
CPI-SS0B337B316PP cells,0,0,0,0,1,0,1
CPI-CS0E54FF657PP cells,0,0,0,0,1,0,1
CPI-CS02957B1BFPP cells,0,0,0,0,1,0,1
CPI-CS012D15A88PP cells,0,0,0,0,1,0,1
CPI-CS0107C51C6PP cells,0,0,0,0,1,0,1
CPI-CS0E997FABDPP cells,0,0,0,0,1,0,1
CPI-SS088A0A760PP cells,0,0,0,0,1,1,1
CPI-SS09808DEAEPP cells,0,0,0,0,1,0,0
CPI-SS09D379E5BPP cells,0,0,0,0,0,1,0
CPI-CS073D36B1DPP cells,0,0,0,0,0,0,1
CPI-SS0F15C1AB3PP cells,0,0,0,0,0,0,1
CPI-SS0055264F3PP cells,0,0,0,0,0,0,1
CPI-SS0A19E9C34PP cells,0,0,0,0,0,0,1
CPI-SC095A2C115PP cells,0,0,0,0,0,0,1
CPI-CS0924060DBPP cells,0,0,0,0,0,0,1
CPI-SS0A1864A37Stellate cells,1,0,0,0,0,1,0
CPI-SS00EC753E6Stellate cells,1,0,0,0,0,0,0
CPI-SS06B94F144Stellate cells,1,0,0,0,0,1,0
CPI-SS0179FBFD3Stellate cells,1,0,0,1,1,0,0
CPI-SS0C4E86714Stellate cells,1,1,0,0,0,0,1
CPI-SS0BF490275Stellate cells,1,0,1,0,0,1,0
CPI-CS067298D94Stellate cells,1,1,1,1,1,1,1
CPI-SS0E00478B4Stellate cells,1,1,1,1,1,1,1
CPI-SS027CDEA08Stellate cells,1,1,1,0,0,1,1
CPI-SS0898D7F7FStellate cells,1,0,1,1,1,0,0
CPI-SS07D40A3F3Stellate cells,1,1,1,0,0,0,0
CPI-CS077F1340AStellate cells,1,1,1,1,1,1,1
CPI-SS08CA619FEStellate cells,1,0,0,0,0,0,0
CPI-SS0947A8549Stellate cells,1,1,1,1,1,1,1
CPI-SS0DE0A486FStellate cells,1,1,1,1,1,1,1
CPI-SS07D71C546Stellate cells,1,1,1,0,1,1,1
CPI-SS00EDDD458Stellate cells,1,1,0,1,0,1,1
CPI-SS0C4D54E39Stellate cells,1,1,1,1,1,1,1
CPI-SS05FEE05CBStellate cells,1,1,1,1,1,1,1
CPI-SS033E6DE7EStellate cells,1,1,1,1,1,1,1
CPI-SS0241A1F57Stellate cells,1,1,1,1,1,1,1
CPI-SS07833475AStellate cells,1,1,1,0,1,1,1
CPI-SS08083B141Stellate cells,1,1,1,1,1,1,1
CPI-SS0FA326344Stellate cells,1,1,0,0,0,1,0
CPI-SS0D795AC00Stellate cells,1,1,1,1,1,1,0
CPI-CS0C59AF029Stellate cells,1,1,0,1,1,1,1
CPI-CS0C091F24BStellate cells,1,1,1,1,1,1,1
CPI-CS05AB368CEStellate cells,1,0,0,1,1,0,0
CPI-CS0715DE78DStellate cells,1,0,0,1,1,0,0
CPI-CS090FFEDFEStellate cells,1,1,1,1,1,1,1
CPI-SS0DA033F03Stellate cells,1,1,0,1,0,1,1
CPI-SS0A19E9C34Stellate cells,1,1,0,1,0,1,1
CPI-SS00D153A8AStellate cells,1,1,1,0,0,1,1
CPI-SS02770D68FStellate cells,1,1,1,1,1,1,1
CPI-SS0E0BCE16FStellate cells,1,1,1,1,1,1,1
CPI-CS0484364A2Stellate cells,1,1,1,1,1,1,1
CPI-SS042EB8C7AStellate cells,1,1,1,1,1,1,1
CPI-CS03DF8BD36Stellate cells,1,1,1,1,1,1,1
CPI-CS01319F57AStellate cells,1,1,1,1,1,1,1
CPI-SS0273C9AEDStellate cells,1,1,1,1,1,1,1
CPI-SC095A2C115Stellate cells,1,1,1,0,1,1,1
CPI-SC0E9C058EBStellate cells,1,1,1,1,1,1,1
CPI-CS0D35E69F6Stellate cells,1,1,1,1,1,1,1
CPI-SS0A4EE6FE1Stellate cells,1,0,0,1,1,0,0
CPI-CS05EAF93CCStellate cells,1,1,1,1,1,1,1
CPI-SS0302E8E8FStellate cells,1,0,0,0,1,1,1
CPI-CS0924060DBStellate cells,1,1,1,1,1,1,1
CPI-SS0E91E504DStellate cells,1,1,1,0,1,1,1
CPI-CS0DF85303AStellate cells,1,1,1,1,1,1,1
CPI-CS0F6CFB979Stellate cells,1,1,1,1,1,1,1
CPI-CS08109C435Stellate cells,1,1,1,1,1,1,1
CPI-CS0EF793D6AStellate cells,1,1,1,1,1,1,1
CPI-CS08A853007Stellate cells,1,1,1,1,1,1,1
CPI-CS0D238C22BStellate cells,1,1,1,1,1,1,1
CPI-CS0921BB754Stellate cells,1,1,1,1,1,1,1
CPI-SS088A0A760Stellate cells,1,0,0,0,1,1,1
CPI-CS0C0D60519Stellate cells,1,1,1,1,1,1,1
CPI-CS0247DA882Stellate cells,1,1,1,1,1,1,1
CPI-SS01946BE5CStellate cells,1,0,0,1,1,0,1
CPI-CS0533A30DCStellate cells,1,0,0,0,0,0,1
CPI-SS03CC15FF3Stellate cells,1,1,1,1,1,1,1
CPI-CS091BF99D0Stellate cells,1,1,1,1,1,1,1
CPI-SS0F00D756AStellate cells,1,1,1,1,1,1,1
CPI-SS0C0A61F92Stellate cells,1,1,1,1,1,1,1
CPI-SS03133B4F2Stellate cells,1,1,1,1,1,1,1
CPI-SS034D36D2FStellate cells,1,1,1,1,1,1,1
CPI-CS058910188Stellate cells,1,1,1,1,1,1,1
CPI-CS0AB19226AStellate cells,1,1,1,1,1,1,1
CPI-CS0E4E75E3BStellate cells,1,1,1,1,1,1,1
CPI-CS028ACED72Stellate cells,1,1,1,1,1,1,1
CPI-CS075442484Stellate cells,1,1,1,1,1,1,1
CPI-CS08A043594Stellate cells,1,1,1,1,1,1,1
CPI-CS06072FF4EStellate cells,1,1,1,1,1,1,1
CPI-SS099C401F7Stellate cells,1,1,1,0,1,1,1
CPI-CS0E5D1ECCEStellate cells,1,1,1,1,1,1,1
CPI-SS070C51D94Stellate cells,1,1,1,1,1,1,1
CPI-CS04F78ACD6Stellate cells,1,0,0,0,0,1,0
CPI-CS07B61574BStellate cells,1,1,1,1,1,1,1
CPI-CS05426BFFAStellate cells,1,1,1,1,1,1,1
CPI-SS05B1FA8A8Stellate cells,1,1,1,1,1,1,1
CPI-CS0FFBA02F8Stellate cells,1,1,1,1,1,1,1
CPI-CS0C16967C6Stellate cells,1,1,1,1,1,1,1
CPI-CS0AB9C7139Stellate cells,1,1,1,1,1,1,1
CPI-CS046B3C139Stellate cells,1,1,1,1,1,1,1
CPI-CS08CC8F9D3Stellate cells,1,1,1,1,1,1,1
CPI-CS0CE2A204AStellate cells,1,1,1,1,1,1,1
CPI-CS0AEE2FB22Stellate cells,1,1,1,1,1,1,1
CPI-SS02AFCED82Stellate cells,0,1,1,0,0,1,0
CPI-SS038E93B77Stellate cells,0,1,0,0,0,1,0
CPI-SS0907A7598Stellate cells,0,1,0,0,0,0,0
CPI-SS0BEAB521FStellate cells,0,1,1,0,0,1,0
CPI-SS0586F2596Stellate cells,0,1,1,0,0,0,0
CPI-SS091B461CBStellate cells,0,1,0,1,1,0,0
CPI-SS0F1A060D4Stellate cells,0,1,0,0,0,0,0
CPI-SS0649EA05FStellate cells,0,1,0,0,0,0,0
CPI-SS03A2EFDD5Stellate cells,0,1,1,0,0,0,0
CPI-SS0EB3C2743Stellate cells,0,1,0,1,1,1,0
CPI-SS0C5E9FBFBStellate cells,0,1,1,0,0,0,0
CPI-CS0FCC00896Stellate cells,0,1,1,0,0,1,0
CPI-CS0CA393CC5Stellate cells,0,1,1,0,0,1,0
CPI-SS0055264F3Stellate cells,0,1,1,1,0,1,1
CPI-SS082900482Stellate cells,0,1,1,0,0,0,1
CPI-CS0E1BF543EStellate cells,0,1,1,0,0,1,1
CPI-CS0EC80CA59Stellate cells,0,1,1,0,0,1,1
CPI-CS046BCFC6FStellate cells,0,1,1,0,0,1,1
CPI-CS047EE9E03Stellate cells,0,1,1,0,0,1,1
CPI-CS02C93975CStellate cells,0,1,1,1,1,1,1
CPI-CS01A4D7E2FStellate cells,0,1,1,1,1,1,1
CPI-CS0BEC40E19Stellate cells,0,1,1,1,1,1,1
CPI-SS02FBD007EStellate cells,0,1,1,1,0,0,0
CPI-SS079728E8BStellate cells,0,1,1,0,0,0,1
CPI-SS0528A694BStellate cells,0,1,1,1,1,0,1
CPI-SS0D2539AEBStellate cells,0,1,1,1,1,0,1
CPI-SS09C4FCB90Stellate cells,0,0,1,0,0,0,0
CPI-SS070B0E458Stellate cells,0,0,1,0,0,0,1
CPI-SS09808DEAEStellate cells,0,0,1,0,1,0,1
CPI-SS0D954EA1CStellate cells,0,0,0,1,1,1,1
CPI-SS07BECB892Stellate cells,0,0,0,1,1,0,0
CPI-SS0AB0604B5Stellate cells,0,0,0,1,1,0,0
CPI-CS0C9EE65C2Stellate cells,0,0,0,1,0,0,0
CPI-SS0E25CE362Stellate cells,0,0,0,1,1,0,0
CPI-SS064C772FEStellate cells,0,0,0,1,1,0,0
CPI-CS0DEBE7B69Stellate cells,0,0,0,1,1,0,0
CPI-SS03165AD8CStellate cells,0,0,0,1,1,0,1
CPI-SS00046DCF3Stellate cells,0,0,0,1,1,0,1
CPI-SS074CF011CStellate cells,0,0,0,1,0,0,0
CPI-SS0111AAD26Stellate cells,0,0,0,1,1,0,1
CPI-SS07F60834DStellate cells,0,0,0,1,0,1,1
CPI-SS0EDAE16B6Stellate cells,0,0,0,1,1,0,1
CPI-CS0BE59B43EStellate cells,0,0,0,1,1,0,0
CPI-SS02D7A1DDEStellate cells,0,0,0,1,1,0,1
CPI-SS02B567BC7Stellate cells,0,0,0,0,1,0,0
CPI-SS0B337B316Stellate cells,0,0,0,0,1,0,1
CPI-CS0E54FF657Stellate cells,0,0,0,0,1,0,1
CPI-CS02957B1BFStellate cells,0,0,0,0,1,0,1
CPI-CS012D15A88Stellate cells,0,0,0,0,1,0,1
CPI-CS0107C51C6Stellate cells,0,0,0,0,1,0,1
CPI-CS0E997FABDStellate cells,0,0,0,0,1,0,1
CPI-SS003C9A532Stellate cells,0,0,0,0,0,1,0
CPI-SS09D379E5BStellate cells,0,0,0,0,0,1,0
CPI-CS073D36B1DStellate cells,0,0,0,0,0,0,1
CPI-SS0F15C1AB3Stellate cells,0,0,0,0,0,0,1
CPI-CS04DD927C9Stellate cells,0,0,0,0,0,0,1
CPI-CS0B79F5D68Stellate cells,0,0,0,0,0,0,1
CPI-CS063AE1C91Stellate cells,0,0,0,0,0,0,1
CPI-CS02AEFFE28Stellate cells,0,0,0,0,0,0,1
CPI-SS06BC4D123Stellate cells,0,0,0,0,0,0,1
CPI-CS076E1A639Stellate cells,0,0,0,0,0,0,1
CPI-SS082AD7B6AStellate cells,0,0,0,0,0,0,1
CPI-SS006FB5198$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS01560CA22$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS0FAE7ABEF$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SS056993231$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS01A29DD97$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS06006F870$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS00D3CD86E$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS065F7DA2A$\alpha{-}cells$,1,0,0,0,1,1,1
CPI-SS07CCAD9BF$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS0CDAC688B$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS09A3FA737$\alpha{-}cells$,1,0,1,1,1,0,0
CPI-SS00BD8FF72$\alpha{-}cells$,1,0,0,0,0,1,0
CPI-SS0D00AAD2F$\alpha{-}cells$,1,1,0,0,0,0,0
CPI-SC017215F7F$\alpha{-}cells$,1,0,0,0,0,1,0
CPI-SS055B305F1$\alpha{-}cells$,1,0,1,0,0,0,0
CPI-SS032AD1183$\alpha{-}cells$,1,1,1,0,1,1,0
CPI-SS01963C4CA$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SS073F3FAD5$\alpha{-}cells$,1,0,1,1,0,0,1
CPI-SS0EBFE1854$\alpha{-}cells$,1,0,0,1,1,0,1
CPI-SS0467AFD8A$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SS01469637C$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS09CA492BA$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS0AC594A8E$\alpha{-}cells$,1,1,1,0,1,1,0
CPI-SS0CC5DCE80$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS053613259$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SS058E608D0$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0A9F17199$\alpha{-}cells$,1,0,0,0,0,0,1
CPI-SS01F67987A$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS03189F5F6$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0F2C6A4D4$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS066347638$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0D4CA5D92$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0A2949959$\alpha{-}cells$,1,0,0,0,1,0,1
CPI-SS0D782F60B$\alpha{-}cells$,1,1,0,0,0,1,0
CPI-SS0DEDA3567$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS03EF699C7$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS0C4FA643F$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS03EACE0E0$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS006C6537E$\alpha{-}cells$,1,0,1,0,0,0,0
CPI-SS04F3A1E5C$\alpha{-}cells$,1,0,0,0,1,1,1
CPI-SS0F3A089DE$\alpha{-}cells$,1,0,1,0,0,1,0
CPI-SS0D95D41D6$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0735F5C3A$\alpha{-}cells$,1,0,1,0,0,0,1
CPI-SS034B442CE$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS008FB916C$\alpha{-}cells$,1,1,0,1,1,1,1
CPI-SS0BCCDFA7A$\alpha{-}cells$,1,0,1,1,1,0,0
CPI-SS012AFC842$\alpha{-}cells$,1,0,1,1,0,1,0
CPI-SS002673EFE$\alpha{-}cells$,1,0,1,1,0,0,1
CPI-SS033180726$\alpha{-}cells$,1,0,0,1,1,0,1
CPI-SS0E41702C1$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS01560CA22$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS056993231$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS01A29DD97$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS06006F870$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS00D3CD86E$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS07CCAD9BF$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS00BD8FF72$\beta{-}cells$,1,0,0,0,0,1,0
CPI-SS0D00AAD2F$\beta{-}cells$,1,1,0,0,0,0,0
CPI-SS0331C5A49$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SC017215F7F$\beta{-}cells$,1,0,0,0,0,1,0
CPI-SS055B305F1$\beta{-}cells$,1,0,1,0,0,0,0
CPI-SS032AD1183$\beta{-}cells$,1,1,1,0,1,1,0
CPI-SS073F3FAD5$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS01469637C$\beta{-}cells$,1,0,0,1,0,1,0
CPI-SS0C56C483F$\beta{-}cells$,1,0,1,1,0,1,1
CPI-SS0D46E2B45$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS085EE60B1$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0CC5DCE80$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS0FF49C823$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS0CBC7840D$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0CB4F2FE4$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS0178F5C45$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS02ACCF1F7$\beta{-}cells$,1,1,0,1,0,1,1
CPI-SS079DDF890$\beta{-}cells$,1,0,1,1,0,1,0
CPI-SS0A2949959$\beta{-}cells$,1,0,0,0,1,0,1
CPI-SS0D782F60B$\beta{-}cells$,1,1,0,0,0,1,0
CPI-SS0DEDA3567$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS03EF699C7$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS0C4FA643F$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS06AA638A8$\beta{-}cells$,1,1,1,0,1,1,0
CPI-SS083CBFACD$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS006C6537E$\beta{-}cells$,1,0,1,0,0,0,0
CPI-SS04F3A1E5C$\beta{-}cells$,1,0,0,0,1,1,1
CPI-SS0F3A089DE$\beta{-}cells$,1,0,1,0,0,1,0
CPI-SS0C28FEC7D$\beta{-}cells$,1,1,0,1,1,0,0
CPI-SS019C98396$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0FBC9234C$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0735F5C3A$\beta{-}cells$,1,0,1,0,0,0,1
CPI-SS0230EE330$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS00797FD15$\beta{-}cells$,1,1,1,1,1,0,0
CPI-SS00581282E$\beta{-}cells$,1,1,0,1,0,1,1
CPI-SS012AFC842$\beta{-}cells$,1,0,1,1,0,1,0
CPI-SS033180726$\beta{-}cells$,1,0,0,1,1,1,1
CPI-SC001669E22$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SC0FDB4B6D9$\beta{-}cells$,1,1,1,0,0,1,1
CPI-SS0057AB387$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS08C78576B$\beta{-}cells$,1,0,0,1,1,1,0
CPI-SS0CB863B46$\beta{-}cells$,1,0,1,1,0,0,1
CPI-SS0472C478C$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0B81F1BF5$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS08B85996F$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS01560CA22$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS056993231$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS01A29DD97$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS06006F870$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS05996C8FD$\delta{-}cells$,1,1,0,0,1,0,1
CPI-SS00D3CD86E$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS07CCAD9BF$\delta{-}cells$,1,0,0,0,0,0,0
CPI-SS0E063192D$\delta{-}cells$,1,1,1,0,1,1,1
CPI-SS00BD8FF72$\delta{-}cells$,1,0,0,0,0,1,0
CPI-SS0D00AAD2F$\delta{-}cells$,1,1,0,0,0,0,0
CPI-SS0EDD4928A$\delta{-}cells$,1,1,1,0,1,1,1
CPI-SS055B305F1$\delta{-}cells$,1,0,1,0,0,0,0
CPI-SS0FC42EC80$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0D5E30C6C$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS01469637C$\delta{-}cells$,1,0,0,1,0,1,0
CPI-SS0F0D7F25C$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0D46E2B45$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS085EE60B1$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0CC5DCE80$\delta{-}cells$,1,0,0,1,1,0,0
CPI-SS0FF49C823$\delta{-}cells$,1,0,0,1,1,0,0
CPI-SS0CBC7840D$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS058E608D0$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0CB4F2FE4$\delta{-}cells$,1,1,1,0,1,1,1
CPI-SS0178F5C45$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS079DDF890$\delta{-}cells$,1,1,1,1,0,1,0
CPI-SS0A2949959$\delta{-}cells$,1,0,1,1,1,1,1
CPI-SS0D782F60B$\delta{-}cells$,1,1,0,0,0,1,0
CPI-SS0DEDA3567$\delta{-}cells$,1,0,0,1,1,0,0
CPI-SS03EF699C7$\delta{-}cells$,1,0,0,1,1,0,0
CPI-SS0C4FA643F$\delta{-}cells$,1,0,0,1,1,0,0
CPI-SS06AA638A8$\delta{-}cells$,1,1,1,0,1,1,1
CPI-SS083CBFACD$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS006C6537E$\delta{-}cells$,1,0,1,0,0,0,0
CPI-SS04F3A1E5C$\delta{-}cells$,1,0,0,0,1,1,1
CPI-SS0F3A089DE$\delta{-}cells$,1,0,1,0,0,1,0
CPI-SS0FEEB187C$\delta{-}cells$,1,0,1,0,1,1,1
CPI-SS0735F5C3A$\delta{-}cells$,1,0,1,0,0,1,1
CPI-SS034B442CE$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0230EE330$\delta{-}cells$,1,1,1,0,1,1,0
CPI-SS00797FD15$\delta{-}cells$,1,1,0,1,0,0,0
CPI-SS0BCCDFA7A$\delta{-}cells$,1,0,1,1,1,0,0
CPI-SS00581282E$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0E7CBFD03$\delta{-}cells$,1,0,1,1,1,1,1
CPI-SS0E32BEF02$\delta{-}cells$,1,0,1,1,0,1,1
CPI-SS012AFC842$\delta{-}cells$,1,0,1,1,0,1,0
CPI-SS002673EFE$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS033180726$\delta{-}cells$,1,0,0,1,1,1,1
CPI-SS0D9EFC4F7$\delta{-}cells$,1,1,0,0,1,1,1
CPI-SC001669E22$\delta{-}cells$,1,1,1,0,1,1,1
CPI-SC0FDB4B6D9$\delta{-}cells$,1,1,1,0,1,1,1
CPI-SS0057AB387$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS012B216F6$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0E7D5974D$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS08C78576B$\delta{-}cells$,1,1,0,1,1,1,1
CPI-SS0CB863B46$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0472C478C$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS0B81F1BF5$\delta{-}cells$,1,1,1,1,1,1,1
CPI-SS08C995EB4Acinar cells,1,0,0,1,1,0,1
CPI-SS01A29DD97Acinar cells,1,0,0,0,0,0,0
CPI-SS06006F870Acinar cells,1,0,0,0,0,0,0
CPI-SS00D3CD86EAcinar cells,1,0,0,0,0,0,0
CPI-SS01C2BA5C8Acinar cells,1,0,1,1,1,1,1
CPI-SS095E52E66Acinar cells,1,0,0,1,1,0,0
CPI-SS0CA020C34Acinar cells,1,1,0,0,0,1,0
CPI-SS0BC9F7E9EAcinar cells,1,1,1,0,1,1,1
CPI-SS0D636A374Acinar cells,1,1,0,1,1,1,1
CPI-SS055B305F1Acinar cells,1,0,1,0,0,0,0
CPI-SS0938C6980Acinar cells,1,0,1,0,0,1,1
CPI-SS046F6F0C1Acinar cells,1,0,0,1,1,0,1
CPI-SS00E68BB92Acinar cells,1,1,1,1,1,1,1
CPI-SS076D8A297Acinar cells,1,1,1,1,1,1,1
CPI-SS0A5DF05C0Acinar cells,1,1,1,1,1,1,1
CPI-SS0E134097CAcinar cells,1,1,1,1,1,1,1
CPI-SS0AC594A8EAcinar cells,1,1,1,0,1,1,1
CPI-SS053613259Acinar cells,1,1,1,0,1,1,1
CPI-SS059EEFDC6Acinar cells,1,1,0,1,0,1,1
CPI-SS0B2D5BA95Acinar cells,1,0,1,1,0,1,1
CPI-SS0A9F17199Acinar cells,1,1,1,0,1,1,1
CPI-SS066347638Acinar cells,1,1,1,1,1,1,1
CPI-SS0D4CA5D92Acinar cells,1,1,1,1,1,1,1
CPI-SS03FA58286Acinar cells,1,1,1,1,1,1,1
CPI-SS004C23DCEAcinar cells,1,1,1,1,1,1,1
CPI-SS0D782F60BAcinar cells,1,1,0,0,0,1,0
CPI-SS0DEDA3567Acinar cells,1,0,0,0,1,0,0
CPI-SS03EF699C7Acinar cells,1,0,0,1,1,0,0
CPI-SS0C4FA643FAcinar cells,1,0,0,1,1,0,0
CPI-SS060B82BBCAcinar cells,1,1,1,1,1,1,1
CPI-SS02EF3E1BAAcinar cells,1,1,1,1,1,1,1
CPI-SS0E7523314Acinar cells,1,1,1,1,1,1,1
CPI-SS03EACE0E0Acinar cells,1,1,1,1,1,1,1
CPI-SS006C6537EAcinar cells,1,0,1,0,0,0,0
CPI-SS0F3A089DEAcinar cells,1,0,1,0,0,1,0
CPI-SS0D95D41D6Acinar cells,1,1,1,1,1,1,1
CPI-SS03722104EAcinar cells,1,0,1,1,1,1,1
CPI-SS0735F5C3AAcinar cells,1,0,1,0,0,1,1
CPI-SS00797FD15Acinar cells,1,1,1,1,0,0,0
CPI-SS008FB916CAcinar cells,1,1,1,1,1,1,1
CPI-SS0BCCDFA7AAcinar cells,1,0,1,1,1,0,0
CPI-SS04B4619D0Acinar cells,1,1,1,1,1,1,1
CPI-SS00581282EAcinar cells,1,0,0,1,0,0,1
CPI-SS0E5593D5CAcinar cells,1,1,1,1,1,1,1
CPI-SS0F9B3B259Acinar cells,1,1,1,1,1,1,1
CPI-SS0E32BEF02Acinar cells,1,1,1,1,1,1,1
CPI-SS012AFC842Acinar cells,1,0,1,1,0,1,0
CPI-SS002673EFEAcinar cells,1,1,1,1,1,1,1
CPI-SS033180726Acinar cells,1,0,0,1,1,1,1
CPI-SS0D9EFC4F7Acinar cells,1,1,0,0,1,1,1
CPI-SC0077CEB82Acinar cells,1,1,1,0,1,1,1
CPI-SC0D5CFA431Acinar cells,1,1,1,0,1,1,1
CPI-SC001669E22Acinar cells,1,0,1,0,1,1,1
CPI-SS0057AB387Acinar cells,1,1,1,1,1,1,1
CPI-SS03DA2A820Acinar cells,1,1,1,1,1,1,1
CPI-SS0859C173BAcinar cells,1,1,1,1,1,1,1
CPI-SS0F8EFEECFAcinar cells,1,1,1,1,1,1,1
CPI-SS08C78576BAcinar cells,1,1,0,1,1,1,1
CPI-SC032246C72Acinar cells,1,1,1,1,1,1,1
CPI-SC0984894BCAcinar cells,1,1,1,1,1,1,1
CPI-SC03DD946B2Acinar cells,1,1,1,1,1,1,1
CPI-SC098C06330Acinar cells,1,1,1,1,1,1,1
CPI-SS0CB863B46Acinar cells,1,1,1,1,1,1,1
CPI-SS0472C478CAcinar cells,1,1,1,1,1,1,1
CPI-SS006FB5198Ductal cells,1,0,0,0,0,0,0
CPI-SS01560CA22Ductal cells,1,0,0,0,0,0,0
CPI-SS056993231Ductal cells,1,0,0,0,0,0,0
CPI-SS01A29DD97Ductal cells,1,0,0,0,0,0,0
CPI-SS06006F870Ductal cells,1,0,0,0,0,0,0
CPI-SS00D3CD86EDuctal cells,1,0,0,0,0,0,0
CPI-SS0AECC113FDuctal cells,1,1,1,1,1,1,1
CPI-SS0E1A8414DDuctal cells,1,1,0,1,0,0,1
CPI-SS07CCAD9BFDuctal cells,1,1,0,1,0,0,1
CPI-SS095E52E66Ductal cells,1,0,1,1,1,0,0
CPI-SS0330D939ADuctal cells,1,1,1,0,1,1,1
CPI-SS0F6A7A4DFDuctal cells,1,1,1,1,1,1,1
CPI-SS0E063192DDuctal cells,1,1,1,0,0,1,1
CPI-SS00BD8FF72Ductal cells,1,0,0,0,0,1,0
